Variable_Name,State,Probability
Driver_Skill_25,Low,0.5263157894736842
Driver_Skill_25,Mid,0.21052631578947367
Driver_Skill_25,Elite,0.15789473684210525
Driver_Skill_25,Good,0.10526315789473684
Team_Legacy_25,Backmarker,0.5789473684210527
Team_Legacy_25,Midfield,0.3157894736842105
Team_Legacy_25,Top_Tier,0.10526315789473684
Reliability_26,Solid,0.7368421052631579
Reliability_26,Fragile,0.2631578947368421
Expected_Race_Pace_26,Out_of_Points,0.6842105263157895
Expected_Race_Pace_26,P4_P10,0.21052631578947367
Expected_Race_Pace_26,P1_P3,0.10526315789473684
