,Driver_Code,Driver_Skill_25,Team_Legacy_25,Reliability_26,Expected_Race_Pace_26
0,NOR,Elite,Top_Tier,Solid,P4_P10
1,PIA,Elite,Top_Tier,Fragile,Out_of_Points
2,VER,Elite,Midfield,Solid,P4_P10
3,RUS,Good,Midfield,Solid,P1_P3
4,LEC,Good,Midfield,Solid,P4_P10
5,ANT,Mid,Midfield,Solid,P1_P3
6,HAM,Mid,Midfield,Solid,P4_P10
7,ALB,Mid,Backmarker,Solid,Out_of_Points
8,SAI,Mid,Backmarker,Solid,Out_of_Points
9,ALO,Low,Backmarker,Fragile,Out_of_Points
10,HUL,Low,Backmarker,Fragile,Out_of_Points
11,HAD,Low,Backmarker,Fragile,Out_of_Points
12,LAW,Low,Midfield,Solid,Out_of_Points
13,BEA,Low,Backmarker,Solid,Out_of_Points
14,OCO,Low,Backmarker,Solid,Out_of_Points
15,STR,Low,Backmarker,Fragile,Out_of_Points
16,BOR,Low,Backmarker,Solid,Out_of_Points
17,GAS,Low,Backmarker,Solid,Out_of_Points
18,COL,Low,Backmarker,Solid,Out_of_Points
