Driver_Code,Driver_Skill_2025,Team_Legacy_2025,Reliability_2026,Expected_Race_Pace_2026,Championship_Standing_2026
NOR,Elite,Top_Tier,Solid,P4_P10,P4_P10
PIA,Elite,Top_Tier,Fragile,P4_P10,P4_P10
VER,Elite,Midfield,Solid,P4_P10,P4_P10
RUS,Good,Midfield,Solid,P1_P3,P1_P3
LEC,Good,Midfield,Solid,P1_P3,P1_P3
ANT,Mid,Midfield,Solid,P1_P3,P1_P3
HAM,Mid,Midfield,Solid,P4_P10,P4_P10
ALB,Mid,Midfield,Solid,Out_of_Points,P11_P20
SAI,Mid,Midfield,Solid,Out_of_Points,P11_P20
ALO,Mid,Backmarker,Fragile,Out_of_Points,P11_P20
HUL,Mid,Backmarker,Fragile,Out_of_Points,P11_P20
HAD,Mid,Backmarker,Fragile,Out_of_Points,P11_P20
LAW,Low,Midfield,Solid,Out_of_Points,P4_P10
BEA,Low,Backmarker,Solid,P4_P10,P4_P10
OCO,Low,Backmarker,Solid,Out_of_Points,P11_P20
STR,Low,Backmarker,Fragile,Out_of_Points,P11_P20
BOR,Low,Backmarker,Solid,Out_of_Points,P11_P20
GAS,Low,Backmarker,Solid,P4_P10,P4_P10
COL,Low,Backmarker,Solid,P4_P10,P11_P20
